feature,coefficient,abs_coefficient,odds_ratio,or_ci_lower,or_ci_upper,perm_importance_mean,perm_importance_std,type
Pylint Error Issues,0.5511774828448888,0.5511774828448888,1.7352950955815847,1.4065239771378102,2.280460991141571,0.06497065136380747,0.018541252765080594,Other
API Calls,0.3595023548386251,0.3595023548386251,1.4326163025656118,1.2150559584333072,2.0113985920731006,0.049607581175181166,0.013791772831067048,Other
Halstead Difficulty,0.24454758902081947,0.24454758902081947,1.277043434024857,1.0264085555429565,1.453076623781731,0.022571131580367873,0.011050302130435534,Other
Total Security Issues,0.21649515774538805,0.21649515774538805,1.2417170726290498,0.9969168185065242,1.387321437685624,0.011374865632842493,0.010355637737929194,Other
Statement Flesch-Kincaid Grade,0.1857319343259899,0.1857319343259899,1.2040994393831557,0.9310425839489147,1.579832924077826,0.010559316301000743,0.006575005676821759,Other
Pylint Convention Issues,0.15281458250343252,0.15281458250343252,1.165108927332948,0.9439352051038331,1.6279869576750814,0.00895897069768446,0.005029295167718303,Other
Pylint Warning Issues,0.14025618790055172,0.14025618790055172,1.150568522837563,0.9588230154405097,1.3132857408525909,0.012952217443059189,0.006311574274483116,Other
Comment Lines,0.13121346851467866,0.13121346851467866,1.1402111545163824,0.8403470321551789,1.3927851479511382,0.00735653546982562,0.004914050374935897,Other
Problem Difficulty Level,0.11744318015819726,0.11744318015819726,1.124617727526921,1.015243664129206,1.273291089546592,3.407092989754501e-05,0.005061037407179148,Other
Prompt Perplexity,0.11719629304281722,0.11719629304281722,1.1243401081719975,0.9637885027366159,1.2616250763878594,-0.005091612433772948,0.007761819311361599,Other
Cyclomatic Complexity,0.08606500637202986,0.08606500637202986,1.0898771749634641,0.7083180894434467,1.519772131003601,-0.0030019187124651976,0.0036988895418447114,Other
Halstead Volume,0.0805351441107369,0.0805351441107369,1.083866937512588,0.8342411068985401,1.9304830476477568,0.007113198249212305,0.0076158643845485405,Other
Halstead Bugs,0.0805351441107354,0.0805351441107354,1.0838669375125864,0.8342411068985404,1.9304830476477708,0.007113198249212305,0.0076158643845485405,Other
Cognitive Complexity,0.07309225490979908,0.07309225490979908,1.0758297829162498,0.596132924837181,2.6855347320457494,-0.0013789489127425689,0.0013595716168334888,Other
Solution Code Length,0.049218243224769226,0.049218243224769226,1.0504495792289643,0.7269082687532534,2.180293907831832,-0.0003841408530844174,0.0021178320034643526,Other
Maintainability Index,0.026326120487487427,0.026326120487487427,1.0266757138678464,0.826402229517939,1.2212806338543292,0.0023544963767233437,0.000960311735094959,Other
Lines of Code,-0.039080733508763996,0.039080733508763996,0.961673066771274,0.4928802736560456,2.458922451949472,0.002413433946630306,0.0011555541279787787,Other
Halstead Effort,-0.05525742214910801,0.05525742214910801,0.9462415330698776,0.6868457362933618,1.3762631219497203,-0.0008528120411683308,0.002668230851285411,Other
Halstead Time,-0.055257422149112355,0.055257422149112355,0.9462415330698735,0.68684573629336,1.3762631219497368,-0.0008528120411683308,0.002668230851285411,Other
Security Confidence Types,-0.06894384950907208,0.06894384950907208,0.9333790883008444,0.8378350563313932,1.1572536700025866,0.0003804556079483601,0.0016757561511469724,Other
Security Severity Types,-0.06894384950907208,0.06894384950907208,0.9333790883008444,0.8378350563313932,1.1572536700025866,0.0003804556079483601,0.0016757561511469724,Other
Logical Lines of Code,-0.08250562508130667,0.08250562508130667,0.9208062582321664,0.25398103751843004,2.3363984313169914,0.0058003798715153005,0.002612924121296404,Other
Problem Description Length,-0.09393486627238568,0.09393486627238568,0.9103420542811896,0.8135310681373276,1.043814937594977,0.003303085794486275,0.0038249774701882584,Other
Statement Gunning Fog Index,-0.14194504709848008,0.14194504709848008,0.8676689361014329,0.6538106474890496,1.1780317391606754,0.006720968348445892,0.005473264912292437,Other
Pylint Refactor Issues,-0.3726852983223041,0.3726852983223041,0.6888819910533998,0.5610186073234987,0.8993989422124872,-0.0027792302878971572,0.005026087179792729,Other
